diagram_name,GroundTruth,claude_4_5,gpt4o,gpt5
2.svg,2.3316666666666666,2.9477777777777776,3.1227777777777774,2.6983333333333333
2stagebeit.svg,2.3666666666666667,2.8536111111111113,2.7266666666666666,2.7975
3.svg,2.34,2.5308333333333333,2.6641666666666666,2.56
condorcet_framework.svg,2.3316666666666666,2.5366666666666666,2.4558333333333335,2.4741666666666666
feature.svg,3.7527777777777773,2.723333333333333,2.8377777777777777,2.9833333333333334
img-module-single.svg,2.3316666666666666,2.8408333333333333,2.9227777777777777,2.8325
mae.svg,3.7527777777777773,2.714166666666667,3.8011111111111116,2.7583333333333333
mssm.svg,2.4066666666666667,2.8158333333333334,2.8444444444444446,2.8033333333333332
new-framework.svg,2.3316666666666666,2.78,2.8775,2.7483333333333335
over-arch-double2.svg,2.32,2.955,2.99,2.742777777777778
pc-module-single.svg,2.3316666666666666,3.1866666666666665,2.9427777777777777,2.79
preid.svg,3.7527777777777773,2.63,3.179444444444444,2.8541666666666665
supp.svg,2.3333333333333335,2.9191666666666665,2.956111111111111,3.219722222222222
teaser2.svg,2.316666666666667,2.546666666666667,3.4258333333333333,2.7333333333333334
